Date,Regime_0,Regime_1,Regime_2,Regime_3
2003-06-16,0.08856093544377126,0.91143905096499,1.3591239271585806e-08,0.0
2003-06-17,1.2081141966624845e-05,0.15171401376337165,0.8482739050946622,5.978357175925771e-63
2003-06-18,0.1100752402825174,0.8899224679813338,2.2917361497588405e-06,2.122862913062383e-40
2003-06-19,0.13378442834798696,0.8662079004387448,7.671213267957629e-06,6.536884871020426e-218
2003-06-20,0.005234110726492306,0.9945313409538743,0.000234548319631849,1.766191587558607e-20
2003-06-23,5.0527808909635454e-05,0.9999494304283286,4.176276171649702e-08,1.5528927998533858e-222
2003-06-24,2.4795686281515313e-06,0.07062114563024062,0.9293763748011307,2.157092909924865e-30
2003-06-25,0.0003696878987765154,0.9370662516730089,0.06256406042821452,3.747788757601904e-57
2003-06-26,0.015771580189293026,0.9842282714701092,1.483405982949898e-07,8.621800640973151e-300
2003-06-27,0.00011158441952151355,0.9998779638319863,1.0451748492197603e-05,3.144983130108504e-62
2003-06-30,2.1837683384768324e-06,0.12916900410438326,0.8708288120911605,3.611749148551556e-11
2003-07-01,6.48244652832321e-05,0.9850191383390169,0.014916037195699528,1.8522039531856013e-51
2003-07-02,0.00019283549483733572,0.9996891921520891,0.00011797235307486309,1.9417705614999364e-145
2003-07-03,0.017685598944005877,0.9823143986402368,2.4157575966905108e-09,2.5479934019110747e-93
2003-07-04,3.4230723928032654e-14,9.277247944740342e-86,4.416025905397114e-183,0.9999999999999662
2003-07-07,0.002705202822549388,0.9972947971774501,4.295495995883554e-16,0.0
2003-07-08,2.366207819533832e-07,0.010294035994710455,0.9897057273845073,3.403153524030564e-29
2003-07-09,0.001557088471403743,0.9918773980005179,0.006565513528080225,9.512479076643748e-38
2003-07-10,0.0001154124555599528,0.9998606516324489,2.3935911992084262e-05,1.8055786944089223e-235
2003-07-11,2.1679240589495036e-05,0.9333127281197465,0.06666559263966315,5.69351801913613e-77
2003-07-14,0.00011297402394065552,0.7811824659558328,0.21870456002022715,9.580396357284106e-50
2003-07-15,0.0022108580677159973,0.9439926238634644,0.05379651806882028,6.821868855526483e-108
2003-07-16,3.675512768218829e-06,0.251773756965734,0.7482225675214983,1.3061584060533391e-64
2003-07-17,0.0010945290506037542,0.9989054621115278,8.83786993493894e-09,7.727976369571475e-153
2003-07-18,5.201033774766283e-05,0.9999479896199202,4.233201137298751e-11,1.5312562883662484e-129
2003-07-21,0.09813305790177204,0.9018642493134811,2.692784745982615e-06,2.0816005921143223e-274
2003-07-22,2.1181463857806785e-05,0.63729850186085,0.3626803166752922,3.1057959568874825e-134
2003-07-23,0.0005479290155285887,0.7355981265500691,0.26385394443440174,8.379230562991157e-25
2003-07-24,3.1699201084753235e-05,0.3853956250126762,0.6145726757862396,8.157775320885575e-37
2003-07-25,0.00011360885959162648,0.9998425458889655,4.384525144277067e-05,1.1540983526774777e-176
